datetime,open,high,low,close,volume
1528070400000.0,8.335,8.642000000000001,6.401,6.86,6840838.805
1528675200000.0,6.858,7.08,5.45,6.149,18515853.487999998
1529280000000.0,6.149,6.85,4.126,5.08,23391221.975
1529884800000.0,5.083,5.864,4.54,5.092,27894970.191999998
1530489600000.0,5.098,5.647,4.27,4.53,19396767.195
1531094400000.0,4.526,4.53,3.14,3.443,24195264.066999998
1531699200000.0,3.444,4.074,3.1910000000000003,3.2430000000000003,17387718.184
1532304000000.0,3.2430000000000003,3.6439999999999997,2.92,3.21,18557871.474
1532908800000.0,3.202,3.216,2.1430000000000002,2.2769999999999997,23915078.161
1533513600000.0,2.282,2.37,1.3519999999999999,1.4980000000000002,29395019.961999997
1534118400000.0,1.4969999999999999,2.88,1.033,2.359,89159296.718
1534723200000.0,2.353,2.7030000000000003,1.9380000000000002,2.385,141409623.809
1535328000000.0,2.385,2.88,2.3,2.505,112774104.21100001
1535932800000.0,2.505,2.515,1.71,1.8430000000000002,83633904.08
1536537600000.0,1.8419999999999999,1.943,1.565,1.828,53000119.281
1537142400000.0,1.828,2.265,1.631,2.079,66039677.596
1537747200000.0,2.08,2.1109999999999998,1.749,2.006,48787713.708000004
1538352000000.0,2.006,2.032,1.865,1.9380000000000002,20967858.139000002
1538956800000.0,1.9369999999999998,2.165,1.7,1.806,33382103.045
1539561600000.0,1.8030000000000002,2.17,1.751,1.845,16025464.899
1540166400000.0,1.8430000000000002,1.87,1.702,1.775,11871021.424
1540771200000.0,1.775,1.797,1.5959999999999999,1.733,9002350.831
1541376000000.0,1.733,1.7630000000000001,1.605,1.643,6153390.231000001
1541980800000.0,1.6440000000000001,1.6580000000000001,1.262,1.357,13283438.445999999
1542585600000.0,1.355,1.358,0.778,0.875,35367888.011
1543190400000.0,0.878,0.925,0.71,0.821,28040600.851
1543795200000.0,0.821,0.8270000000000001,0.512,0.564,21755413.306999996
1544400000000.0,0.564,0.58,0.43,0.455,10688156.168
1545004800000.0,0.456,0.8,0.45299999999999996,0.741,66680821.334
1545609600000.0,0.741,0.8240000000000001,0.5303,0.6108,44707579.171000004
1546214400000.0,0.6102,0.6555,0.55,0.6403,21070096.41
1546819200000.0,0.6406,0.7371,0.5489999999999999,0.5638,43868332.89
1547424000000.0,0.5639,0.6472,0.5589,0.5883,26125734.51
1548028800000.0,0.5892,0.6364,0.5649,0.599,19455250.32
1548633600000.0,0.5989,0.5996,0.5211,0.5391,16778628.64
1549238400000.0,0.5385,0.6035,0.5036,0.5871,12057082.41
1549843200000.0,0.5873,0.7156,0.5588,0.6469,47856410.67
1550448000000.0,0.647,1.1981,0.6342,0.9784,109412924.422
1551052800000.0,0.9795,1.043,0.852,0.8763,53485433.78
1551657600000.0,0.8761,1.06,0.7656,0.9542,41929939.3
1552262400000.0,0.9559,1.1534,0.8752,1.1179,33820942.62
1552867200000.0,1.1181,1.4067,1.0459,1.2437,50503399.422
1553472000000.0,1.2455,1.3331,1.0989,1.3067,25061901.05
1554076800000.0,1.3067,1.686,1.2703,1.5313,49371739.657
1554681600000.0,1.5314,1.5928,1.2221,1.3575,26055159.29
1555286400000.0,1.3565,1.38,1.18,1.2205,17603301.7
1555891200000.0,1.2205,1.2798,0.9889,1.1174,31428580.17
1556496000000.0,1.1174,1.1992,1.0078,1.082,20821677.92
1557100800000.0,1.0829,1.2616,0.9896,1.156,26657162.67
1557705600000.0,1.156,1.6714,1.1465,1.4185,42352815.0
1558310400000.0,1.4162,1.4288,1.2456,1.4067,20105034.05
1558915200000.0,1.4067,1.7156,1.3756,1.5017,31599502.35
1559520000000.0,1.5019,1.5029,1.21,1.3252,20094078.27
1560124800000.0,1.3251,1.5,1.3156,1.4455,28351585.98
1560729600000.0,1.4454,1.6835,1.37,1.5455,26450463.11
1561334400000.0,1.5431,1.8559999999999999,1.4069999999999998,1.4366,35723072.944
1561939200000.0,1.4380000000000002,1.5057,1.2987,1.3866,11512355.39
1562544000000.0,1.3876,1.4191,0.8865,0.8948,19723626.04
1563148800000.0,0.8949,1.0999,0.7718,1.03,25463852.79
1563753600000.0,1.0302,1.0881,0.9048,0.9749,13133010.41
1564358400000.0,0.975,1.0216,0.9502,0.9589,9242824.05
1564963200000.0,0.9582,1.02,0.8431,0.9009999999999999,11849345.31
1565568000000.0,0.9016,0.9058,0.7334,0.7804,9425071.83
1566172800000.0,0.7789,0.9016,0.7113,0.8046,17733511.28
1566777600000.0,0.8042,0.8353,0.6855,0.7144,14069812.43
1567382400000.0,0.7135,0.7707,0.6779,0.758,13433049.2
1567987200000.0,0.7582,0.8093,0.698,0.7571,17427369.78
1568592000000.0,0.7571,0.8609,0.75,0.7967,38921890.38
1569196800000.0,0.7968,0.8022,0.5445,0.5846,37097102.08
1569801600000.0,0.5849,0.6312,0.5668,0.6046,21220559.07
1570406400000.0,0.6044,0.674,0.5945,0.6366,34048670.77
1571011200000.0,0.6365,0.65,0.5629,0.5854,25778540.84
1571616000000.0,0.5853,1.188,0.5198,0.9796,80448596.38
1572220800000.0,0.981,1.1512,0.8105,0.8964,134260283.44
1572825600000.0,0.8963,0.9305,0.8127,0.8518,33513991.67
1573430400000.0,0.8517,0.9487,0.79,0.8197,39004713.03
1574035200000.0,0.8195,0.8208,0.5532,0.5629,47453778.89
1574640000000.0,0.5624,0.6964,0.526,0.6359,50072835.84
1575244800000.0,0.6365,0.6494,0.5813,0.6402,23454287.15
1575849600000.0,0.6409999999999999,0.6539,0.5777,0.5945,18826892.47
1576454400000.0,0.5949,0.597,0.5029,0.557,22017629.87
1577059200000.0,0.5573,0.564,0.5043,0.5447,25202436.34
